,0,1,2,3,4,5
Year,0.0,1.0,2.0,3.0,4.0,5.0
Growth Rate,,0.1,0.09,0.08,0.07,0.06
Revenue,1000000.0,1100000.0,1199000.0,1294920.0,1385564.4000000001,1468698.2640000002
EBIT Margin,0.2,0.2,0.21,0.22,0.23,0.24
EBIT,200000.0,220000.0,251790.0,284882.4,318679.81200000003,352487.58336000005
Tax Rate,0.25,0.25,0.25,0.25,0.25,0.25
Taxes,50000.0,55000.0,62947.5,71220.6,79669.95300000001,88121.89584000001
NOPAT,150000.0,165000.0,188842.5,213661.80000000002,239009.85900000003,264365.68752000004
CapEx Rate,0.05,0.05,0.05,0.05,0.05,0.05
NWC Rate,0.02,0.02,0.02,0.02,0.02,0.02
Depreciation Rate,0.12,0.12,0.12,0.12,0.12,0.12
CapEx,50000.0,55000.0,59950.0,64746.0,69278.22000000002,73434.91320000001
NWC,20000.0,22000.0,23980.0,25898.4,27711.288000000004,29373.965280000004
Change in NWC,0.0,2000.0,1980.0,1918.4000000000015,1812.8880000000026,1662.6772799999999
Net Capital Assets,250000.0,275000.0,301950.0,330462.0,360084.78,390309.51960000006
Depreciation,30000.0,30000.0,33000.0,36234.0,39655.439999999995,43210.1736
FCFF,130000.0,138000.0,159912.5,183231.40000000002,207574.19099999996,232478.27064
